Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
,,,,,,
01x02 header,,"JP1, JP2",01x02 header,01x02 header,2,
01x04 header,,"JP3, JP4",01x04 header,01x04 header,2,
01x08 header,,"JP5, JP6",01x08 header,01x08 header,2,
01x03 header,,"JP7, JP8, JP9",01x03 header,01x03 header,3,
2K2O,RES 2.2K OHM 1/4W 5% AXIAL,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30",2.2k,2K2O,30,
switch 12mm,Switch Tactile N.O. SPST Flat Plunger PC Pins 0.05A 24VDC 1.27N Thru-Hole Bag,"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW29, SW30",switch 12mm,switch 12mm,18,
Switch 6mm,"APEM - MJTP1230 - SWITCH, TACTILE SPST, 50mA, THROUGH HOLE","SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28",switch 6mm,switch 6mm,12,
push switch,,SW31,push switch,push switch,1,
Arduino nano,"ARDUINO - A000005 - Development Board, Arduino Nano, ATmega328 MCU, 14 3.3V I/O, 6 PWM Outputs, USB Mini B",U1,Arduino nano,Arduino nano,1,
2:1 MUX,"Multiplexer, HC/UH Series, 4-Func, 2 Line Input, 1 Line Output, True Output, CMOS, PDIP16",U2,2 channel mux,74HC157,1,
16:1 MUX,"TEXAS INSTRUMENTS      CD4067BE      IC, ANALOG MUX/DMUX, 16 X 1, DIP-24","U3, U4",16 channel mux,CD4067BE,2,
Nokia 5110,Adafruit Nokia 5110 / 3310 Monochrome LCD and Extras,U5,nokia 5110,Nokia 5110,1,
TP4056,,U6,TP4056,TP4056,1,
